geohash_5,SPEED
t8zfq,11.1
t8zjp,10.1
t8zk8,14.6
t8zmm,9.3
t8zmv,14.7
t8zqz,9.5
t8zr7,10.6
t8zvb,11.0
t8zvp,11.1
t8zw9,14.7
t8zwb,9.5
t8zwk,9.6
t8zyh,10.0
t96pv,10.5
t96qz,10.7
t96rb,10.7
t96rd,10.7
t96rh,10.7
t96vc,10.6
t96vm,10.2
t96w9,10.5
t96wj,10.6
t96ww,11.1
t96x0,10.649999999999999
t96xe,11.8
t96xf,12.9
t96xt,12.5
t96y5,10.8
t96yj,10.6
t96yw,11.7
t96z0,11.5
t96z1,12.7
t977g,10.6
t97e3,10.4
t97e4,10.6
t97f6,10.5
t97f8,10.5
t97fn,10.5
t97fv,10.7
t97fx,11.0
t97g4,10.0
t97gv,13.2
t97gw,12.3
t97hq,10.5
t97j1,10.6
t97j8,10.7
t97jn,10.5
t97k2,10.6
t97kc,10.6
t97ks,10.0
t97kz,13.4
t97m8,13.0
t97mx,13.5
t97n5,11.7
t97n8,12.7
t97nb,12.9
t97nh,12.8
t97nk,13.1
t97q4,13.2
t97qy,12.1
t97r2,12.3
t97rj,12.0
t97s9,13.2
t97sm,13.0
t97sq,11.9
t97sr,12.0
t97sz,13.5
t97th,13.5
t97um,13.0
t97vu,12.1
t97we,11.8
t97wp,12.2
t98gu,10.0
t98jx,11.6
t98m9,12.3
t98mg,10.0
t98mk,11.0
t98mn,11.0
t98n4,11.6
t98nu,11.0
t98pk,12.6
t98ps,11.6
t98q1,10.9
t98qh,12.7
t98r1,11.7
t98r6,11.0
t98sb,12.1
t98sr,11.45
t98sx,10.6
t98sz,12.2
t98t8,12.0
t98tj,12.4
t98u4,11.6
t98uk,10.5
t98un,10.6
t98vc,11.0
t98ve,11.5
t98vt,11.5
t98wj,12.0
t994y,10.9
t994z,12.1
t9953,11.0
